DokumentUrl*;Verknüpfungsart*;Abonnements;Dokumentbeschreibung;Sprache*;Dokumenttyp*;Dokumentnummer;Ausgabedatum;AcCode*;ID;Hosted Datei ID;Löschen
Document url*;Url type*;Subscriptions;Document description;Language*;Document type*;Document identifier;Publication date;AcCode*;ID;Hosted file ID;Delete
URL du document*;Type de lien*;Abonnements;Descriptif des documents;Langue*;Type de document*;Indice du document;Date de publication;AcCode*;ID;ID du fichier hébergé;Supprimer
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASR_technische_Regeln_für_Arbeitsstätten/ASR-A2-2_20121120.pdf;Url;;ASR;de;trule;ASR A 2.2;2012-11-20;DE45625293;128bd3c9-68ce-4d5b-aa1e-cb27ee433bae;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASME/ASME Y14.5-2018_gescannt.pdf;Url;;ASME;en;trule;ANSI/ASME Y 14.5;2018-00-00;US88693478;9fabb820-fec4-4ead-8231-555ecfeca822;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/9100642.pdf;Url;;ASTM;en;trule;ASTM D 2794;1993-00-00;US80018208;490c9a98-6bd3-4221-ae19-ff7bebed8cf8;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM//2778062.pdf;Url;;ASTM;en;trule;ASTM D 4728;2017-00-00;US88580274;badc3f15-b3b6-47d5-9f71-9db29b6a1b76;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM//1473787.pdf;Url;;ASTM;en;trule;ASTM D 999;2008-00-00;US82311866;1db33e46-d2b3-4a92-bb5b-eb94815d70ff;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM//2535410.pdf;Url;;ASTM;en;trule;ASTM D 4169;2016-00-00;US88420298;5eb15c72-7f5d-4957-b6b2-c3f91575ce3e;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/3180428.PDF;Url;;ASTM;en;trule;ASTM E 155;2020-00-00;US88772550;2f74ccfb-c5b4-4239-a71b-8a46bc198e04;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/2534216.pdf;Url;;ASTM;en;trule;ASTM D 7386;2016-00-00;US88419974;92ba5cff-c42b-4af6-b54e-79d8d3125360;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/3142931.pdf;Url;;ASTM;en;trule;ASTM D 975a;2019-00-00;US88701269;cd6ac406-9792-48b0-ba24-fe4045012ab8;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/ASTM F3588-22.pdf;Url;;ASTM;en;trule;ASTM F 3588;2022-01-01;CSMKBP00000038;691a38ce-578f-4da2-9567-7ddae3baec5a;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/ASTM/3171810.PDF;Url;;ASTM;en;trule;ASTM D 1835;2020-00-00;US88767750;a2008db5-c520-4528-a606-3f5a22e6e605;;
https://nautos.intranet.jungheinrich.com/Volltext/Sonstige_Normen/AS_Norm_Australische_Standards/AS 2402.2.2-2005.pdf;Url;;Australische Normen;en;;empty;20.07.2023 10:44:06;CS20000045;aab82fd4-a336-4204-9679-fe8b2c67a076;;
